name,species
Tiger,Panthera tigris
Ring-tailed Lemur,Lemur catta
De Brazza's Monkey,Cercopithecus neglectus
Brazilian Tapir,Tapirus terrestris
Eastern Chipmunk,Tamias striatus
Red-necked Wallaby,Notamacropus rufogriseus
Black-tailed Prairie Dog,Cynomys ludovicianus
Eastern Gray Squirrel,Sciurus carolinensis
Gray Seal,Halichoerus grypus
Harbor Seal,Phoca vitulina
American Badger,Taxidea taxus
Domestic Goat,Capra hircus
Alpaca,Lama pacos
Bobcat,Lynx rufus
Red Squirrel,Sciurus vulgaris
Domestic Cat,Felis catus
European Pine Marten,Martes martes
Brown Rat,Rattus norvegicus
Red Deer,Cervus elaphus
African Wild Dog,Lycaon pictus
Andean Bear,Tremarctos ornatus
Sitatunga,Tragelaphus spekii
Capybara,Hydrochoerus hydrochaeris
Giant Anteater,Myrmecophaga tridactyla
Giraffe,Giraffa camelopardalis
Bornean Orangutan,Pongo pygmaeus
